Location,Mean_Error_Scaled,Mean_Std_Scaled,Max_Mean_Error_Scaled,Min_Mean_Error_Scaled
Cox's Bazar,0.3294503546099291,0.023333536520306068,0.9276595744680849,0.014095744680851067
Kyaukpyu,0.56002259461495,0.020961947897300718,0.980643946526078,0.0321031820749388
Kyauktaw,0.6279141934939153,0.004516559637469364,0.9848951578202103,0.0006423891382830357
Myebon,0.6311361228994541,0.007372871462257846,0.9789839473522358,0.005637903110072366
Pauktaw,0.7044289044289045,0.019866062052230966,0.9623776223776226,0.018041958041957972
Sittwe,0.6652800750777171,0.0023748130387187386,0.9974485307056131,0.0033784972725673344
Ramree,0.44098933117747324,0.0034746270684202674,0.9858498455896244,0.0003988031259970078
Maungdaw,0.19870715302030786,0.007114445199248439,0.9721607812702109,0.01114021471995861
Rathedaung,0.6733283389520124,0.021181312619678035,0.966787364215258,0.028717692595829687
Total,0.6408877886862073,0.003203162591415982,0.988451110871247,0.0013114773161707154
