Day,Place,mean,std,count,stderr
0,Cox's Bazar,70355.9,203.45157764058894,10,64.33703788988468
0,Kyauktaw,1012.8,19.286149319020524,10,6.09881591422102
0,Ramree,166.4,10.76207332358511,10,3.4032664048267254
0,Rathedaung,2616.0,49.29277612163648,10,15.587744473713235
0,Sittwe,13434.0,84.56161461719297,10,26.74073048117172
1,Cox's Bazar,72141.7,220.73918747899913,10,69.80386012885586
1,Kyauktaw,2727.8,46.84679521826674,10,14.814257396920777
1,Ramree,605.0,32.37626016423488,10,10.238272423715937
1,Rathedaung,4608.8,73.72441175681826,10,23.313706030764138
1,Sittwe,12206.8,82.85033360088411,10,26.199575908357346
2,Cox's Bazar,73837.7,240.57987816477532,10,76.07803742064995
2,Kyauktaw,4287.1,102.22355675457365,10,32.325926986794265
2,Ramree,1480.4,49.54728381388159,10,15.668226872666008
2,Rathedaung,6195.9,132.39540945381927,10,41.86710456246581
2,Sittwe,11287.4,115.93599766921213,10,36.66218154386828
3,Cox's Bazar,75604.4,236.76673940587435,10,74.87221706941047
3,Kyauktaw,5673.7,147.00721826571035,10,46.487764220515274
3,Ramree,2597.4,49.27744582125445,10,15.58289660707106
3,Rathedaung,7633.8,126.64368212517435,10,40.04824867859043
3,Sittwe,10580.6,99.97910892892678,10,31.616170264948607
4,Cox's Bazar,77321.7,217.20909025381252,10,68.68754536951285
4,Kyauktaw,6941.4,141.05333900494665,10,44.60498228274999
4,Ramree,3971.8,66.97395845484355,10,21.17902526347969
4,Rathedaung,8916.1,134.4176327718944,10,42.506587724727865
4,Sittwe,10087.1,106.76396603931698,10,33.76173047171076
5,Cox's Bazar,78992.0,224.14479447198968,10,70.88080762018058
5,Kyauktaw,8113.0,134.86289333986568,10,42.64739147943281
5,Ramree,5487.6,89.74680433803124,10,28.380431442965875
5,Rathedaung,10065.9,160.67251026717526,10,50.80910898210628
5,Sittwe,9783.9,100.15593397852733,10,31.672087255359607
6,Cox's Bazar,80778.8,233.0239854130387,10,73.68865433550545
6,Kyauktaw,9283.8,133.63366176063428,10,42.25867432321512
6,Ramree,7060.4,110.65883506425413,10,34.99339620239481
6,Rathedaung,11347.5,159.20025823541326,10,50.34354201108844
6,Sittwe,9559.9,107.8954741095907,10,34.11954474100344
7,Cox's Bazar,82482.5,218.65256560224225,10,69.14401235424717
7,Kyauktaw,10459.1,157.85116055604104,10,49.91691986580206
7,Ramree,8818.7,113.96398066445758,10,36.03857501190753
7,Rathedaung,12699.9,175.17131297358276,10,55.39403297187241
7,Sittwe,9714.2,111.91246579358338,10,35.38982904734066
8,Cox's Bazar,84406.3,235.75554665326217,10,74.5524498442395
8,Kyauktaw,11607.5,122.8669108335435,10,38.85392873028148
8,Ramree,10759.7,138.14569603622596,10,43.68550484237687
8,Rathedaung,14017.4,166.67013329728067,10,52.705723914327656
8,Sittwe,10049.1,97.57327730708055,10,30.855379505759508
9,Cox's Bazar,86415.8,234.1522771379528,10,74.04545150709032
9,Kyauktaw,12743.0,127.21460433281834,10,40.22879013288309
9,Ramree,12856.2,157.31200420395982,10,49.746423657049625
9,Rathedaung,15268.2,168.58153319190504,10,53.31016163296954
9,Sittwe,10473.6,107.93228329734235,10,34.13118482821504
10,Cox's Bazar,88442.0,249.2482029356804,10,78.81920239806168
10,Kyauktaw,13814.1,138.6349723394343,10,43.84022759470543
10,Ramree,15142.1,190.03710164070588,10,60.095008112155185
10,Rathedaung,16510.0,168.2570784378609,10,53.207560030924625
10,Sittwe,10959.9,147.8313227973016,10,46.74836895550472
11,Cox's Bazar,90466.4,229.122092634763,10,72.45476749899409
11,Kyauktaw,14854.9,178.05645172248035,10,56.306393953084914
11,Ramree,17576.5,204.2624945178792,10,64.59347232241554
11,Rathedaung,17678.7,162.87012549199338,10,51.504055935215106
11,Sittwe,11517.2,131.94089585871396,10,41.723374743661374
12,Cox's Bazar,92531.5,224.72266858903598,10,71.06354746125308
12,Kyauktaw,15839.5,226.33566518190054,10,71.57362177040741
12,Ramree,20114.7,218.6875244117354,10,69.15506730047579
12,Rathedaung,18814.2,149.64535854256656,10,47.322017426704555
12,Sittwe,12109.6,159.61286497856827,10,50.47401971971983
13,Cox's Bazar,94576.3,253.65201446951883,10,80.21180988136659
13,Kyauktaw,16772.8,243.22362823815772,10,76.9140646002625
13,Ramree,22693.6,222.5374874787017,10,70.37253252038988
13,Rathedaung,20352.9,162.43730414463857,10,51.3671858074567
13,Sittwe,12677.4,167.33678615295563,10,52.91653805758649
14,Cox's Bazar,96739.2,270.4978126837008,10,85.53891901740778
14,Kyauktaw,17603.7,222.43853083492542,10,70.34123968199599
14,Ramree,25344.3,231.08827077307245,10,73.07652761926283
14,Rathedaung,22224.6,146.563751771485,10,46.34752780174307
14,Sittwe,13556.0,208.87742285316008,10,66.05284080020922
