Instance,Run,Transition_Probability
myanmar2017,1,0.1776130326997993
myanmar2017,2,0.17788690827529216
myanmar2017,3,0.17746192893401017
myanmar2017,4,0.17728721520481644
myanmar2017,5,0.17895407862117813
myanmar2017,6,0.17938377995514107
myanmar2017,7,0.17848187935308701
myanmar2017,8,0.17673002006846888
myanmar2017,9,0.17769802856805572
myanmar2017,10,0.17794357218746312
myanmar2017_demo,1,0.178854916774879
myanmar2017_demo,2,0.1777735804509503
myanmar2017_demo,3,0.17830244363121237
myanmar2017_demo,4,0.17876992090662258
myanmar2017_demo,5,0.17909101640892455
myanmar2017_demo,6,0.17742887498524376
myanmar2017_demo,7,0.17929878408688465
myanmar2017_demo,8,0.17831188761657418
myanmar2017_demo,9,0.17717860937315547
myanmar2017_demo,10,0.17598866721756581
myanmar2017_network,1,0.17696139770983355
myanmar2017_network,2,0.17703222760004722
myanmar2017_network,3,0.17697556368787629
myanmar2017_network,4,0.17874631094321805
myanmar2017_network,5,0.17676307401723526
myanmar2017_network,6,0.1782268917483178
myanmar2017_network,7,0.17848187935308701
myanmar2017_network,8,0.17680084995868256
myanmar2017_network,9,0.17623421083697322
myanmar2017_network,10,0.17811828591665682
